"Part";"Value";"Device";"Package";"Description";"";
"R58";"2.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R59";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R60";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R61";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R62";"39k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R63";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R64";"110k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R65";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R66";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R67";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R68";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R69";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"SAW";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SAWSHP";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"SINE";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SINSHP";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"SQR";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"T1";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T2";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T3";"2N5457";"2N5457";"TO-92";"2N54xx N-channel JFET";"";
"TRI";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"U$1";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
"V/O";"100R";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
