"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"R18";"2.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R19";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R20";"220k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R21";"220k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R22";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R23";"220k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R24";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R25";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R26";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R27";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R28";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R29";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R30";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R31";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R32";"130k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R33";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R34";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R35";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"T1";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T2";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T3";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T4";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T5";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
"T6";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
"T7";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
"T8";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
"T9";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T10";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";
"T11";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
"T12";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";"";"";"";
