"Part";"Value";"Device";"Package";"Description";"";
"R5";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R6";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R7";"2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R8";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R9";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R10";"2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R11";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R12";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R13";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R14";"330R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R15";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R16";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R17";"8k2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R18";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R19";"8k2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R20";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R21";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R22";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R23";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R24";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R25";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R26";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R27";"300k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R28";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R29";"240k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R30";"14k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R31";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R32";"680R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R33";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R34";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R35";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R36";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R37";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R38";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R39";"56k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R40";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R41";"15k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R42";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R43";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R44";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R45";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R46";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R47";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R48";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R49";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R50";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R51";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R52";"330R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R53";"15k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R54";"3k3";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R55";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RE1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"RE2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"RE3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"RE4";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"RE5";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SAW";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SPAN";"10k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"SYNC";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"T1";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T2";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T3";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T4";"3904";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T5";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T6";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T7";"2N4391";"2N4391";"TO18E";"N-CHANNEL FET";"";
"U$1";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
